"","Year","Date","Site","Region","Latitude.Degrees","Longitude.Degrees","Depth","Species","Count","Ecoregion","SSTA_DHW","SSTFilled","human100km","human50km","human25km","MPA","STATUS_YR","pop100km","pop50km","pop25km"
"2",2003,"01-Nov-03","Leum Island (Ko Luam)","Thailand",12.9627,100.653,3.9,"Bleaching (% of population)",2,"ERG050",0,302.94,13820366.8897855,713721.875019014,8751.66352844238,"Non MPA",NA,11001242.3354463,585482.196779549,10805.3443729281
"19",2003,"20-May-03","Pulau Susu Dara Besar","Malaysia",5.94122,102.667,6,"Bleaching (% of population)",4,"ERG049",1.31,301.48,2253057.89905973,785257.549857974,72751.7159614563,"Non MPA",NA,2068981.74165546,693176.486806333,70728.7918554842
"20",2003,"20-May-03","Pulau Susu Dara Besar","Malaysia",5.94122,102.667,7.6,"Bleaching (% of population)",3,"ERG049",1.31,301.48,2253057.89905973,785257.549857974,72751.7159614563,"Non MPA",NA,2068981.74165546,693176.486806333,70728.7918554842
"29",2003,"08-Jun-03","Pulau Perhentian Kecil/D'Lagoon","Malaysia",5.93158,102.723,6,"Bleaching (% of population)",2,"ERG049",1.12,303.34,2199222.35134216,462137.16999042,34634.4464607239,"MPA",1994,2036970.76399756,427316.496511281,42488.2537157834
"30",2003,"08-Jun-03","Pulau Perhentian Kecil/D'Lagoon","Malaysia",5.93158,102.723,10.3,"Bleaching (% of population)",2,"ERG049",1.12,303.34,2199222.35134216,462137.16999042,34634.4464607239,"MPA",1994,2036970.76399756,427316.496511281,42488.2537157834
"44",2003,"12-May-03","Tokong Burung","Malaysia",5.92325,102.758,3,"Bleaching (% of population)",7,"ERG049",2.33,302.53,2164319.90315492,390522.67276752,31162.4303474426,"Non MPA",NA,2007911.94375742,355304.141546682,21835.8535645306
"45",2003,"12-May-03","Tokong Burung","Malaysia",5.92325,102.758,11,"Bleaching (% of population)",8,"ERG049",2.33,302.53,2164319.90315492,390522.67276752,31162.4303474426,"Non MPA",NA,2007911.94375742,355304.141546682,21835.8535645306
"57",2003,"25-Sep-03","Redang Kalong House Reef","Malaysia",5.76222,103.028,5,"Bleaching (% of population)",0,"ERG049",0,301.9,1633580.21418518,225881.481789589,2975.63133335114,"MPA",1999,1538937.51894141,228568.250306144,1869.24373845756
"58",2003,"25-Sep-03","Redang Kalong House Reef","Malaysia",5.76222,103.028,10,"Bleaching (% of population)",0,"ERG049",0,301.9,1633580.21418518,225881.481789589,2975.63133335114,"MPA",1999,1538937.51894141,228568.250306144,1869.24373845756
"64",2003,"18-Oct-03","Coral Redang House Reef North","Malaysia",5.77722,103.034,6,"Bleaching (% of population)",0,"ERG049",0,300.69,1642016.1524367,202555.96286869,2975.63133335114,"MPA",1999,1528008.35268659,192425.482551828,1869.24373845756
"65",2003,"16-Oct-03","Mini Mount","Malaysia",5.76944,103.034,12,"Bleaching (% of population)",4,"ERG049",0,300.69,1624306.73419993,202861.172890663,2975.63133335114,"MPA",1999,1522287.92838183,206651.333125606,1869.24373845756
"66",2003,"17-Oct-03","Pulau Paku Kecil","Malaysia",5.76861,103.036,12,"Bleaching (% of population)",0,"ERG049",0,300.69,1624943.07215159,202861.172890663,2975.63133335114,"MPA",1999,1517275.72063073,209724.080417648,1869.24373845756
"67",2003,"18-Oct-03","Pelangi House Reef South","Malaysia",5.78278,103.036,7,"Bleaching (% of population)",0,"ERG049",0,300.69,1636816.17567393,200317.3727808,2975.63133335114,"MPA",1999,1525325.80689843,181661.819700018,1869.24373845756
"68",2003,"18-Oct-03","Pulau Lima, Southern Tip","Malaysia",5.76778,103.052,10,"Bleaching (% of population)",7,"ERG049",0,300.69,1538740.92276523,196130.006325722,2975.63133335114,"Non MPA",NA,1450065.11379453,207190.09794952,1869.24373845756
"69",2003,"18-Oct-03","Pulau Lima, Southern Tip","Malaysia",5.76778,103.052,12,"Bleaching (% of population)",0,"ERG049",0,300.69,1538740.92276523,196130.006325722,2975.63133335114,"Non MPA",NA,1450065.11379453,207190.09794952,1869.24373845756
"70",2003,"25-Sep-03","Black Coral Garden","Malaysia",5.77389,103.059,6,"Bleaching (% of population)",0,"ERG049",0,302.23,1527222.77164218,182989.650856972,2975.63133335114,"Non MPA",NA,1422248.9003684,188123.249576584,1869.24373845756
"71",2003,"25-Sep-03","Black Coral Garden","Malaysia",5.77389,103.059,12,"Bleaching (% of population)",0,"ERG049",0,302.23,1527222.77164218,182989.650856972,2975.63133335114,"Non MPA",NA,1422248.9003684,188123.249576584,1869.24373845756
"75",2003,"19-Feb-03","Koh Mano (Minor)","Cambodia",10.8461,103.174,4.5,"Bleaching (% of population)",0,"ERG050",2.28,301.6,368800.688033253,93593.6552302316,11822.9870563671,"Non MPA",NA,323668.18391712,97492.5742860511,9665.25815910846
"76",2003,"22-Feb-03","Koh Mano (channel)","Cambodia",10.8389,103.182,2,"Bleaching (% of population)",0,"ERG050",2.28,301.6,368920.71770969,115033.36518354,11611.5888172314,"Non MPA",NA,325481.658538878,101053.889570542,10383.183749862
"77",2003,"28-Feb-03","Koh Mano (south)","Cambodia",10.8256,103.193,4.5,"Bleaching (% of population)",0,"ERG050",1.08,303.02,374419.171305805,124654.060718887,11257.5538629219,"Non MPA",NA,328796.365634508,105673.028651439,10595.8844051808
"78",2003,"24-Feb-03","Koh Ta Team","Cambodia",10.8007,103.197,5,"Bleaching (% of population)",0,"ERG050",1.26,301.49,377590.697951465,127837.514600389,10250.3770364448,"Non MPA",NA,330580.551331237,105706.822352268,9927.10879719257
"139",2003,"25-Feb-03","Koh Krosa Krao","Cambodia",11.0601,103.071,6,"Bleaching (% of population)",0,"ERG050",7.84,301.86,360017.636709444,31162.5224391893,7643.43780596554,"Non MPA",NA,327722.69945186,30631.9184485488,7197.83096058667
