"","X","Year","Date","Site","Region","Latitude.Degrees","Longitude.Degrees","Depth","Species","Count","Ecoregion","SSTA_DHW","SSTFilled","human100km","human50km","human25km","MPA","STATUS_YR"
"1",1,2005,"25-Dec-05","Pisang Gadang Island","Indonesia",-0.992389,100.342,3,"Bleaching (% of population)",0,"ERG031",7.11,302.895,3255651.33725476,1412555.07971358,853619.741431236,"Non MPA",NA
"2",2,2003,"01-Nov-03","Leum Island (Ko Luam)","Thailand",12.9627,100.653,3.9,"Bleaching (% of population)",2,"ERG050",0,302.94,13820366.8897855,713721.875019014,8751.66352844238,"Non MPA",NA
"3",3,2006,"13-Nov-06","Hin Luk Bat","Thailand",11.9453,102.283,12,"Bleaching (% of population)",1,"ERG050",3.34,303.5,657206.666393594,91533.4630731359,5060.60981432494,"Non MPA",NA
"4",4,2006,"18-Mar-06","Hin Luk Bat","Thailand",11.945,102.287,10,"Bleaching (% of population)",0,"ERG050",1.73,303.46,657465.015705423,96574.7359002843,5060.60981432494,"Non MPA",NA
"5",5,2009,"26-Feb-09","Hin Raab South","Thailand",11.9049,102.317,10.7,"Bleaching (% of population)",0,"ERG050",0,300.7,622177.118841605,86740.2417901769,4975.75392226275,"Non MPA",NA
"6",6,2007,"15-Jun-07","Koh Tien/Koh Thain West","Thailand",11.8052,102.379,5,"Bleaching (% of population)",0,"ERG050",1,304.06,520642.662368731,64670.6740640416,3698.98690907058,"MPA","1982"
"7",7,2008,"10-Jan-08","Koh Tien/Koh Thain West","Thailand",11.8052,102.379,4.5,"Bleaching (% of population)",2,"ERG050",0,301.71,520642.662368731,64670.6740640416,3698.98690907058,"MPA","1982"
"8",8,2006,"28-Nov-06","Koh Mapring","Thailand",11.7903,102.383,4,"Bleaching (% of population)",3,"ERG050",3.96,304.4,506318.369064288,61573.4348672643,2369.79815725383,"MPA","1982"
"9",9,2006,"14-Nov-06","Koh Kra","Thailand",11.7972,102.389,3.6,"Bleaching (% of population)",1,"ERG050",2.56,303.81,511097.327260928,64670.6740640416,2759.88338399079,"MPA","1982"
"10",10,2006,"10-Nov-06","Koh Yak Lek","Thailand",11.7839,102.393,7,"Bleaching (% of population)",0,"ERG050",3.22,303.93,490417.192335086,56766.6958535924,2764.24850460142,"MPA","1982"
"11",11,2007,"15-Jun-07","Koh Yak","Thailand",11.7874,102.396,4,"Bleaching (% of population)",0,"ERG050",2.18,304.14,496185.333771186,62161.6775583043,2764.24850460142,"MPA","1982"
"12",12,2007,"14-Jun-07","Koh Thong Lang","Thailand",11.8185,102.403,3.5,"Bleaching (% of population)",20,"ERG050",1,304.06,529201.810481505,78367.3313974157,3699.08059430268,"MPA","1982"
"13",13,2006,"11-Dec-06","Koh Yak Yai","Thailand",11.8203,102.401,3.5,"Bleaching (% of population)",0,"ERG050",7.29,303.51,532569.162816004,82267.8766244664,3699.08059430268,"MPA","1982"
"14",14,2006,"10-Nov-06","Koh Thong Lang","Thailand",11.8203,102.402,4,"Bleaching (% of population)",0,"ERG050",2.56,303.81,532641.409306483,82545.8333505407,3699.08059430268,"MPA","1982"
"15",15,2006,"27-Nov-06","Koh Lom","Thailand",11.8231,102.447,4.3,"Bleaching (% of population)",0,"ERG050",6.35,304.58,526453.566320376,97048.7811845556,3736.08921869844,"Non MPA",NA
"16",16,2006,"19-Mar-06","Ko Bai Dang","Thailand",11.8842,102.455,3,"Bleaching (% of population)",0,"ERG050",1.06,302.73,599454.808700041,128574.839808823,5478.68952357915,"Non MPA",NA
"17",17,2006,"12-Nov-06","Hin Bai Dang","Thailand",11.9011,102.471,7,"Bleaching (% of population)",4,"ERG050",4.38,303.66,618870.137277083,133871.977805497,7186.88396632817,"MPA","1982"
"18",18,2006,"08-Dec-06","Koh Kood","Thailand",11.755,102.544,5.5,"Bleaching (% of population)",0,"ERG050",10.16,304.1,419743.920108752,70607.3875592962,2472.18189319223,"Non MPA",NA
"19",19,2003,"20-May-03","Pulau Susu Dara Besar","Malaysia",5.94122,102.667,6,"Bleaching (% of population)",4,"ERG049",1.31,301.48,2253057.89905973,785257.549857974,72751.7159614563,"Non MPA",NA
"20",20,2003,"20-May-03","Pulau Susu Dara Besar","Malaysia",5.94122,102.667,7.6,"Bleaching (% of population)",3,"ERG049",1.31,301.48,2253057.89905973,785257.549857974,72751.7159614563,"Non MPA",NA
"21",21,2009,"13-Jun-09","Pulau Rawa, Coral Garden","Malaysia",5.96269,102.681,4.2,"Bleaching (% of population)",0,"ERG049",8.82,304.84,2229998.60949904,715670.316383243,55112.4887886047,"Non MPA",NA
"22",22,2007,"29-Sep-07","Sea Bell","Malaysia",5.95239,102.708,11.5,"Bleaching (% of population)",0,"ERG049",7.48,302.68,2212745.49674125,578923.225608706,31855.2677497864,"Non MPA",NA
"23",23,2007,"30-Sep-07","Sea Bell","Malaysia",5.95239,102.708,6,"Bleaching (% of population)",0,"ERG049",7.48,302.68,2212745.49674125,578923.225608706,31855.2677497864,"Non MPA",NA
"24",24,2008,"30-May-08","Sea Bell","Malaysia",5.95239,102.708,6,"Bleaching (% of population)",6,"ERG049",0,303.85,2212745.49674125,578923.225608706,31855.2677497864,"Non MPA",NA
"25",25,2008,"31-May-08","Sea Bell","Malaysia",5.95239,102.708,11.5,"Bleaching (% of population)",2,"ERG049",0,303.85,2212745.49674125,578923.225608706,31855.2677497864,"Non MPA",NA
"26",26,2008,"05-Oct-08","Sea Bell","Malaysia",5.95239,102.708,5,"Bleaching (% of population)",2,"ERG049",0,301.54,2212745.49674125,578923.225608706,31855.2677497864,"Non MPA",NA
"27",27,2009,"08-May-09","Sea Bell","Malaysia",5.95239,102.708,9,"Bleaching (% of population)",0,"ERG049",2.88,304.92,2212745.49674125,578923.225608706,31855.2677497864,"Non MPA",NA
"28",28,2010,"21-Sep-10","Sea Bell","Malaysia",5.95239,102.708,5,"Bleaching (% of population)",6,"ERG049",6.85,304.57,2212745.49674125,578923.225608706,31855.2677497864,"Non MPA",NA
"29",29,2003,"08-Jun-03","Pulau Perhentian Kecil/D'Lagoon","Malaysia",5.93158,102.723,6,"Bleaching (% of population)",2,"ERG049",1.12,303.34,2199222.35134216,462137.16999042,34634.4464607239,"MPA","1994"
"30",30,2003,"08-Jun-03","Pulau Perhentian Kecil/D'Lagoon","Malaysia",5.93158,102.723,10.3,"Bleaching (% of population)",2,"ERG049",1.12,303.34,2199222.35134216,462137.16999042,34634.4464607239,"MPA","1994"
"31",31,2007,"12-Apr-07","Pulau Perhentian Kecil/D'Lagoon","Malaysia",5.93158,102.723,6,"Bleaching (% of population)",1,"ERG049",6.23,304.15,2199222.35134216,462137.16999042,34634.4464607239,"MPA","1994"
"32",32,2007,"29-Sep-07","Pulau Perhentian Kecil/D'Lagoon","Malaysia",5.93158,102.723,6,"Bleaching (% of population)",0,"ERG049",7.48,302.68,2199222.35134216,462137.16999042,34634.4464607239,"MPA","1994"
"33",33,2008,"30-May-08","Pulau Perhentian Kecil/D'Lagoon","Malaysia",5.93158,102.723,6,"Bleaching (% of population)",0,"ERG049",0,303.85,2199222.35134216,462137.16999042,34634.4464607239,"MPA","1994"
"34",34,2009,"08-May-09","Pulau Perhentian Kecil/D'Lagoon","Malaysia",5.93158,102.723,7.5,"Bleaching (% of population)",12,"ERG049",2.88,304.92,2199222.35134216,462137.16999042,34634.4464607239,"MPA","1994"
"35",35,2007,"12-Apr-07","Batu Nisan","Malaysia",5.92131,102.725,6,"Bleaching (% of population)",1,"ERG049",6.23,304.15,2211140.62304344,464664.847602725,46699.8644294739,"MPA","1994"
"36",36,2007,"30-Sep-07","Batu Nisan","Malaysia",5.92131,102.725,6,"Bleaching (% of population)",0,"ERG049",7.48,302.68,2211140.62304344,464664.847602725,46699.8644294739,"MPA","1994"
"37",37,2008,"31-May-08","Batu Nisan","Malaysia",5.92131,102.725,5.1,"Bleaching (% of population)",0,"ERG049",0,303.85,2211140.62304344,464664.847602725,46699.8644294739,"MPA","1994"
